Symbol,Name,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,8010738124,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,86420895996,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WUBA,58.com Inc.,2577905786,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,166455494.7,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
AIR,AAR Corp.,1193232172,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",2281255082,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,57524753768,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,57935576156,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,75276155816,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,2614161890,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
SGF,"Aberdeen Singapore Fund, Inc.",99227443.4,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,1526115652,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,1447607122,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,50816931987,1986,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACMP,"Access Midstream Partmers, L.P.",10146917657,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/acmp
ACCO,Acco Brands Corporation,652352056.2,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
AH,"Accretive Health, Inc.",908472266.9,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ah
ACW,Accuride Corporation New,152048496,2005,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,32785673495,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,"Acorn International, Inc.",49744706.03,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ACT,"Actavis, Inc.",28143058482,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/act
ATU,Actuant Corporation,2774877091,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,4432736021,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Express Company (The),1216719153,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
AGRO,Adecoagro S.A.,944727280,1994,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
PVD,"Administradora de Fondos de Pensiones-Provida, S.A.",1900652953,1994,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pvd
ADT,ADT Corporation,8966030445,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt
AAP,Advance Auto Parts Inc,7228357873,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AMD,"Advanced Micro Devices, Inc.",2489482695,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,"Advanced Semiconductor Engineering, Inc.",7610123305,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,648273926.3,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,2080063140,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,414551800.1,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,231488369.6,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,134669947.5,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,Aecom Technology Corporation,2919285462,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,491317008,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,0,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
